Exercise name (match DB),Video URL (optional),Phase,Stage (optional),Type,Region,Intensity tier,Equipment,Lymph-safe,Post-op shoulder safe,Notes (symptom mods / cues),Movement Pattern,Balance Demand
Seated Torso Twists,https://vz-dce84f4b-c3a.b-cdn.net/0fb2856d-6561-41fd-a927-ac4f9efe4be5/playlist.m3u8,ALL,EARLY,MOBILITY,CORE,LOW,CHAIR,YES,YES,Small rotation; move from upper back not low back; stay pain-free; exhale as you turn; avoid holding breath.,CORE_ROTATION,LOW
Wall Push Ups,https://vz-dce84f4b-c3a.b-cdn.net/bcbd8fb2-b5d1-482c-8d5c-7970ce5a5283/playlist.m3u8,ALL,EARLY,STRENGTH,UPPER,LOW,WALL,YES,YES,"Body straight, slow tempo; step closer for easier; elbows soft; stop if shoulder pain; reduce depth on fatigue days.",PUSH,MODERATE
Glute Bridge,,ALL,EARLY,STRENGTH,LOWER,LOW,NONE,YES,YES,"Feet hip-width; squeeze gently, not maximal; lift only to comfortable height; avoid breath holding; if back discomfort, make lift smaller.",HINGE,LOW
Step-Up (low),,ALL,EARLY,STRENGTH,LOWER,LOW,STEP,YES,YES,Use low step; slow control; hold support if needed; lead with stronger leg on hard days; stop if knee pain.,STEP,MODERATE
Resistance Band Row,,ALL,EARLY,STRENGTH,UPPER,LOW,BAND,NO,NO,Light band; squeeze shoulder blades gently; keep shoulders down; small range post-op; stop before fatigue affects form.,PULL,MODERATE
Bodyweight Squat to Chair,,ALL,MID,STRENGTH,LOWER,MODERATE,CHAIR,YES,YES,"Control down, light touch to chair; push through heels; stop if knee pain; reduce depth on fatigue days.",SQUAT,MODERATE
"Slow Walk on the Spot
",https://vz-dce84f4b-c3a.b-cdn.net/24cd9591-3e95-4042-aea1-8cd024311a26/playlist.m3u8,ALL,MID,STRENGTH,CORE,LOW,NONE,YES,YES,Lift knees only to comfortable height; tall posture; slow rhythm; good for balance; hold support if needed.,CORE_STABILITY,HIGH
Light Carry (Farmer Carry Light),,POST_TREATMENT,MID,STRENGTH,FULL_BODY,MODERATE,DUMBBELL,YES,YES,Light weights; shoulders relaxed; walk tall; short distances; stop if grip fatigue or arm heaviness.,CARRY,HIGH
Mini Lunge (Supported),,ALL,MID,STRENGTH,LOWER,MODERATE,NONE,YES,YES,Small step back; hold support; shallow depth; knee stays over toes; stop if balance feels unsafe.,LUNGE,HIGH
Band Chest Press,https://vz-dce84f4b-c3a.b-cdn.net/7b03fc66-18f7-4f61-bf34-01ee398f2cfd/playlist.m3u8,POST_TREATMENT,MID,STRENGTH,UPPER,MODERATE,BAND,NO,NO,Light band; press slowly; shoulders down; stop before fatigue alters form; reduce range if post-op tightness.,PUSH,MODERATE
Band Shoulder Press (Light),https://vz-dce84f4b-c3a.b-cdn.net/2c9fdabd-734a-46f5-baa6-a3f753a72e20/playlist.m3u8,POST_TREATMENT,MID,STRENGTH,UPPER,MODERATE,BAND,NO,NO,Light resistance; press only pain-free range; avoid shrugging; stop early if arm heaviness.,PUSH_VERTICAL,MODERATE
Band Pull Apart (Rear Delts),https://vz-dce84f4b-c3a.b-cdn.net/0331f28f-2f7d-4a32-a7a3-086214ad4492/playlist.m3u8,ALL,MID,STRENGTH,UPPER,LOW,BAND,NO,NO,Band at chest height; arms straight or slight bend; pull apart slowly; squeeze shoulder blades back and down; keep shoulders relaxed (no shrugging); small range if post-op or tight.,PULL,LOW
Supported Heel Raises,https://vz-dce84f4b-c3a.b-cdn.net/e02550b1-e22a-4aba-85c0-28d54a823a4b/playlist.m3u8,ALL,MID,STRENGTH,LOWER,MODERATE,NONE,YES,YES,Hold support; slow up/down; improves walking strength; reduce height on fatigue days.,CALF,MODERATE
Hip Hinge (Stick or Light Weight),,POST_TREATMENT,MID,STRENGTH,LOWER,MODERATE,DUMBBELL,YES,YES,Push hips back; neutral spine; small range first; no back strain; slow tempo.,HINGE,MODERATE
Bird Dog,,ALL,MID,STRENGTH,CORE,LOW,NONE,YES,YES,Opposite arm/leg reach; small range; slow control; keep hips level; stop if balance feels unstable.,CORE_STABILITY,LOW
Ankle Pumps,https://vz-dce84f4b-c3a.b-cdn.net/c9a6845d-6877-459a-98dc-c33a34de749d/playlist.m3u8,ALL,EARLY,MOBILITY,LOWER,VERY_LOW,NONE,YES,YES,"Feet elevated if comfortable; gently point and flex ankles; slow rhythm; good for swelling, long sitting, travel, chemo fatigue days.",MOBILITY_LOWER,LOW
Supported Calf Stretch,,ALL,EARLY,MOBILITY,LOWER,VERY_LOW,"WALL, CHAIR",YES,YES,"Heel down, gentle lean; stretch not strain; steady breathing.",MOBILITY_LOWER,LOW
Gentle Neck Rolls,,ALL,EARLY,MOBILITY,UPPER,VERY_LOW,CHAIR,YES,YES,Tiny slow circles or half rolls; no forcing; stay pain-free.,MOBILITY_UPPER,
Diaphragmatic Breathing,,ALL,EARLY,BREATHING,BREATHING,VERY_LOW,NONE,YES,YES,"One hand chest, one belly; slow inhale nose, longer exhale; relax shoulders.",BREATH,LOW
Standing Hip Abduction (supported),,ALL,MID,STRENGTH,LOWER,LOW,"CHAIR, WALL",YES,YES,Hold support; move leg out small range; upright posture; slow control.,CORE_STABILITY,MODERATE
Static Lunge (Supported),,ALL,MID,STRENGTH,LOWER,MODERATE,BAND,YES,YES,Split stance; small range first; hold support for balance; knee tracks over toes; push through front heel; stop if knee pain or wobble increases.,LUNGE,HIGH
Glute Bridge – Banded Progression,,POST_TREATMENT,MID,STRENGTH,LOWER,MODERATE,BAND,YES,YES,Shoulders supported on sofa; band across hips; push through heels; ribs down; controlled tempo; small range on fatigue days; stop if back strain.,HINGE,MODERATE
Band Squat (Supported if needed),https://vz-dce84f4b-c3a.b-cdn.net/b86a2347-a1d5-4e45-b5ef-50e0d0103a07/playlist.m3u8,POST_TREATMENT,MID,STRENGTH,LOWER,MODERATE,BAND,YES,YES,Band under feet and over shoulders or hands; sit back and down; knees track comfortably; chest tall; controlled tempo; reduce depth on fatigue days; hold support if balance unsure.,SQUAT,MODERATE
Band Hip Thrust (Supported),https://vz-dce84f4b-c3a.b-cdn.net/b5420fbf-9d65-4b49-832a-f9daabd1f253/playlist.m3u8,POST_TREATMENT,"MID, LATE",STRENGTH,LOWER,MODERATE,BAND,"YES, CAUTION",NO,"Upper back supported on sofa/chair; band across hips + under feet. Drive through heels; ribs down; small range if sore. Stop if back strain. On fatigue days: fewer reps, slower tempo.",HINGE,LOW
Band Close-Grip Chest Press,https://vz-dce84f4b-c3a.b-cdn.net/b5158822-e8d2-458d-811f-2415a1929210/playlist.m3u8,POST_TREATMENT,MID,STRENGTH,UPPER,MODERATE,BAND,NO,NO,Band anchored behind at chest height. Hands close; elbows stay nearer ribs. Press forward smoothly; don’t lock elbows. Reduce range if chest/shoulder tight; stop early if arm heaviness.,PUSH,MODERATE
Band Lateral Raise,https://vz-dce84f4b-c3a.b-cdn.net/31bb8778-8d06-4815-b756-e04fa8dc2611/playlist.m3u8,POST_TREATMENT,MID,STRENGTH,UPPER,LOW,BAND,NO,NO,"Band under feet. Soft elbows; lift to below shoulder height; shoulders down; neck long. Keep range small. Stop if pinching, heaviness, swelling, or pain.",MOBILITY_UPPER,MODERATE
Band Front Raise (Light),https://vz-dce84f4b-c3a.b-cdn.net/9fdfa28b-b0b4-4871-a9d9-c0a8e316d041/playlist.m3u8,POST_TREATMENT,MID,STRENGTH,UPPER,LOW,BAND,NO,NO,Band under feet; raise hands forward to comfortable height (often below shoulder). Ribs down; avoid shrugging. Small range on fatigue days; stop if shoulder pinch/heaviness.,MOBILITY_UPPER,MODERATE
Band Hammer Curl,https://vz-dce84f4b-c3a.b-cdn.net/589010ac-f933-472f-9cb9-d79976b29895/playlist.m3u8,ALL,MID,STRENGTH,UPPER,LOW,BAND,NO,YES,Stand tall on band; thumbs-up grip; elbows stay by sides; curl smoothly. No swinging. Reduce band tension if arm feels heavy or sore.,PULL_LIGHT,LOW
Band Bicep Curl,https://vz-dce84f4b-c3a.b-cdn.net/ff347e3d-e1d1-4e16-91a5-4ff5a37e5e57/playlist.m3u8,ALL,MID,STRENGTH,UPPER,LOW,BAND,NO,YES,Stand on band; palms-up; elbows close to ribs; slow up/slow down. Keep wrists neutral. Reduce tension/volume on fatigue days.,PULL_LIGHT,LOW
Supported Standing March,https://vz-dce84f4b-c3a.b-cdn.net/1de842c8-4fe8-4fa5-a415-5a375acf4527/playlist.m3u8,ALL,EARLY,STRENGTH,LOWER,LOW,CHAIR,YES,YES,"Small knee lift only; posture tall; hold support. Stop if balance feels unsteady. Reduce height on fatigue days. Smooth rhythm, easy breathing.",CORE_STABILITY,MODERATE
Standing Weight Shifts,https://vz-dce84f4b-c3a.b-cdn.net/1cfdaa54-0808-4718-841d-650d7f98b290/playlist.m3u8,ALL,EARLY,MOBILITY,LOWER,VERY_LOW,NONE,YES,YES,"Gentle side-to-side transfer; feet stay grounded. Small range; knees soft. Use support if needed. Aim for control, not depth.",MOBILITY_LOWER,LOW
Gentle Chest Open,https://vz-dce84f4b-c3a.b-cdn.net/1f1ebfb1-23d1-44d4-8cb8-968121bd80ba/playlist.m3u8,ALL,EARLY,MOBILITY,UPPER,VERY_LOW,NONE,YES,YES,Arms move slightly back; chest opens gently. Shoulders relaxed; no forcing. Small range only. Stop before stretch becomes strain.,MOBILITY_UPPER,LOW
Seated Posture Reset,https://vz-dce84f4b-c3a.b-cdn.net/b47b6523-805e-4cba-8f96-6e4916a01c8b/playlist.m3u8,ALL,EARLY,MOBILITY,UPPER,VERY_LOW,CHAIR,YES,YES,"Sit tall; crown lifts, shoulders soften. Light engagement through upper back, not arching. Slow breath in/out. Reset posture without tension.",MOBILITY_UPPER,LOW
Calm Breathing,https://vz-dce84f4b-c3a.b-cdn.net/2dcd6cba-bd9d-4a3a-83b1-4a4e7c54ed9a/playlist.m3u8,ALL,EARLY,BREATHING,BREATHING,VERY_LOW,NONE,YES,YES,Slow nasal breathing; long exhale; shoulders relaxed; no strain.,BREATH,LOW
Band Static Lunge,https://vz-dce84f4b-c3a.b-cdn.net/a173a261-2dac-49a2-a068-cd5442d5cfc1/playlist.m3u8,ALL,MID,STRENGTH,LOWER,"LOW, MODERATE",BAND,YES,YES,Split stance; band under front foot; lower with control; chest upright; push through front heel; hold support if needed; reduce depth if symptoms rise.,LUNGE,MODERATE
