Exercise name (match DB),Video URL (optional),Phase,Stage (optional),Type,Region,Intensity tier,Equipment,Lymph-safe,Post-op shoulder safe,Notes (symptom mods / cues),Movement Pattern
Gentle Neck Rolls,,ALL,EARLY,MOBILITY,UPPER,VERY_LOW,CHAIR,YES,YES,Tiny slow circles or half rolls; no forcing; stay pain-free.,MOBILITY_UPPER
Diaphragmatic Breathing,,ALL,EARLY,BREATHING,BREATHING,VERY_LOW,NONE,YES,YES,"One hand chest, one belly; slow inhale nose, longer exhale; relax shoulders.",BREATH
Standing Hip Abduction (supported),,ALL,MID,STRENGTH,LOWER,LOW,"CHAIR, WALL",YES,YES,Hold support; move leg out small range; upright posture; slow control.,CORE_STABILITY
Static Lunge (Supported),,ALL,MID,STRENGTH,LOWER,MODERATE,BAND,YES,YES,Split stance; small range first; hold support for balance; knee tracks over toes; push through front heel; stop if knee pain or wobble increases.,LUNGE
Glute Bridge – Banded Progression,,POST_TREATMENT,MID,STRENGTH,LOWER,MODERATE,BAND,YES,YES,Shoulders supported on sofa; band across hips; push through heels; ribs down; controlled tempo; small range on fatigue days; stop if back strain.,HINGE
Band Squat (Supported if needed),https://youtu.be/DKnQqtV9zgg,POST_TREATMENT,MID,STRENGTH,LOWER,MODERATE,BAND,YES,YES,Band under feet and over shoulders or hands; sit back and down; knees track comfortably; chest tall; controlled tempo; reduce depth on fatigue days; hold support if balance unsure.,SQUAT
Band Hip Thrust (Supported),https://youtu.be/jsHJ5xIhlE4,POST_TREATMENT,MID,STRENGTH,LOWER,MODERATE,BAND,YES,YES,"Upper back supported on sofa/chair; band across hips + under feet. Drive through heels; ribs down; small range if sore. Stop if back strain. On fatigue days: fewer reps, slower tempo.",HINGE
Band Close-Grip Chest Press,https://youtu.be/sSK8XxoC7S8,POST_TREATMENT,MID,STRENGTH,UPPER,MODERATE,BAND,YES,YES,Band anchored behind at chest height. Hands close; elbows stay nearer ribs. Press forward smoothly; don’t lock elbows. Reduce range if chest/shoulder tight; stop early if arm heaviness.,PUSH
Band Lateral Raise,https://youtu.be/3GWqy41xUAo,POST_TREATMENT,MID,STRENGTH,UPPER,LOW,BAND,YES,YES,"Band under feet. Soft elbows; lift to below shoulder height; shoulders down; neck long. Keep range small. Stop if pinching, heaviness, swelling, or pain.",MOBILITY_UPPER
Band Front Raise (Light),https://youtu.be/H_8PHW1x2MM,POST_TREATMENT,MID,STRENGTH,UPPER,LOW,BAND,YES,NO,Band under feet; raise hands forward to comfortable height (often below shoulder). Ribs down; avoid shrugging. Small range on fatigue days; stop if shoulder pinch/heaviness.,MOBILITY_UPPER
Band Hammer Curl,https://youtu.be/69z6OughMao,ALL,MID,STRENGTH,UPPER,LOW,BAND,YES,YES,Stand tall on band; thumbs-up grip; elbows stay by sides; curl smoothly. No swinging. Reduce band tension if arm feels heavy or sore.,PULL_LIGHT
Band Bicep Curl,,ALL,MID,STRENGTH,UPPER,LOW,BAND,YES,YES,Stand on band; palms-up; elbows close to ribs; slow up/slow down. Keep wrists neutral. Reduce tension/volume on fatigue days.,PULL_LIGHT
