title,video id,youtube url,filename,tags,primary_movement_pattern
Pallof Press,w3zdDRPKuTI,https://www.youtube.com/watch?v=w3zdDRPKuTI,,"Push, ['upper body'], upper body",Push
Lying Dumbbell Tricep Extension,wjlT8bwtXps,https://www.youtube.com/watch?v=wjlT8bwtXps,,"'floor'], Accessory, ['upper body'",Accessory
Overhead Barbell Squat,zzw2lWmAXpI,https://www.youtube.com/watch?v=zzw2lWmAXpI,,"Squat, ['lower body']",Squat
Overhead Band Pallof Press,cYIbn2rziA0,https://www.youtube.com/watch?v=cYIbn2rziA0,,"'band'], Push, ['upper body', upper body",Push
Pallof Press Iso,SBS6Dy7PzkQ,https://www.youtube.com/watch?v=SBS6Dy7PzkQ,,"Push, ['upper body'], upper body",Push
Neutral-Grip Cable Pull-Down,SUgbpUXubN0,https://www.youtube.com/watch?v=SUgbpUXubN0,,"Pull, ['upper body'], arm",Pull
Overhead Band Tricep Extension,S_hHulsoFls,https://www.youtube.com/watch?v=S_hHulsoFls,,"'band'], Push, ['upper body'",Push
Neutral-Grip Seated Cable Row,VNe-jLYtgSI,https://www.youtube.com/watch?v=VNe-jLYtgSI,,"'chair'], Pull, ['upper body', arm",Pull
Lying Dumbbell Rolling Triceps Extension,XGqbxlCwwbY,https://www.youtube.com/watch?v=XGqbxlCwwbY,,"'floor'], Accessory, ['upper body'",Accessory
Offset Dumbbell Reverse Lunge From Deficit,XePCAXQ_Ipg,https://www.youtube.com/watch?v=XePCAXQ_Ipg,,"Squat, ['lower body']",Squat
Offset Dumbbell Reverse Lunge With Blocked Knee,Y8VgGiWMN2U,https://www.youtube.com/watch?v=Y8VgGiWMN2U,,"Squat, ['lower body']",Squat
Overhead Band Press,ZkMRsMnqRLY,https://www.youtube.com/watch?v=ZkMRsMnqRLY,,"'band'], Push, ['upper body', upper body",Push
Lateral Lunge With Overhead Driver,_12KPcJG6TY,https://www.youtube.com/watch?v=_12KPcJG6TY,,"Squat, ['lower body']",Squat
Overhead Broomstick Squat,1ZWx9EA4ZQM,https://www.youtube.com/watch?v=1ZWx9EA4ZQM,,"Squat, ['lower body']",Squat
Offset Dumbbell Step-Up,1_MiOXVw2iA,https://www.youtube.com/watch?v=1_MiOXVw2iA,,['Uncategorized'],
Pallof Press Iso With Band,5DuwWZAZlVs,https://www.youtube.com/watch?v=5DuwWZAZlVs,,"'band'], Push, ['upper body', upper body",Push
Offset Dumbbell Split Squat,DNEGytCJOT8,https://www.youtube.com/watch?v=DNEGytCJOT8,,"Squat, ['lower body']",Squat
Mountain Climber,DffflppSgog,https://www.youtube.com/watch?v=DffflppSgog,,['Uncategorized'],
Long-Lever Plank,HSU6YwLK_Bo,https://www.youtube.com/watch?v=HSU6YwLK_Bo,,"Core, ['core']",Core
Overhead Cable Tricep Extension,IiGdKM4jXp8,https://www.youtube.com/watch?v=IiGdKM4jXp8,,"Push, ['upper body']",Push
Neutral-Grip Seated Band Row,Oghg2Ob1oRU,https://www.youtube.com/watch?v=Oghg2Ob1oRU,,"'band'], 'chair', Pull, ['upper body', arm",Pull
Offset Dumbbell Cross-Over Step-Up,Ears5yS8SPs,https://www.youtube.com/watch?v=Ears5yS8SPs,,['Uncategorized'],
Neutral-Grip Pull-Up,NCJwj8qRHsw,https://www.youtube.com/watch?v=NCJwj8qRHsw,,"Pull, ['upper body'], arm",Pull
Plank,jKviAG_oLYM,https://www.youtube.com/watch?v=jKviAG_oLYM,,"Core, ['core']",Core
Rear-Foot-Elevated Barbell Split Squat,j_8z92BlRlE,https://www.youtube.com/watch?v=j_8z92BlRlE,,"Squat, ['lower body']",Squat
Piriformis Mobilization,pQRnfeMyj5A,https://www.youtube.com/watch?v=pQRnfeMyj5A,,['Uncategorized'],
Pallof Press to Overhead,pybT2pfn73M,https://www.youtube.com/watch?v=pybT2pfn73M,,"Push, ['upper body'], upper body",Push
Prone Y Raise,sThPvGMLpm8,https://www.youtube.com/watch?v=sThPvGMLpm8,,['Uncategorized'],
"Reach, Rock, Lift",vvDba-F5xsM,https://www.youtube.com/watch?v=vvDba-F5xsM,,['Uncategorized'],
Pec Minor Broomstick Mobilization,waVRS7YFsKc,https://www.youtube.com/watch?v=waVRS7YFsKc,,['Uncategorized'],
Prone T Raise,wfm7P7RSY4U,https://www.youtube.com/watch?v=wfm7P7RSY4U,,['Uncategorized'],
Pec Mobilization With Lacrosse Ball,xcwhM-kg5io,https://www.youtube.com/watch?v=xcwhM-kg5io,,['Uncategorized'],
Prone Row to External Rotation,xsvemSPwZro,https://www.youtube.com/watch?v=xsvemSPwZro,,"'core'], Pull, ['upper body', arm, stability",Pull
Prone Hip Internal Rotation,Q7Q41TgHx54,https://www.youtube.com/watch?v=Q7Q41TgHx54,,"['core'], stability",
Pallof Press With Band,TU1wnh8twi8,https://www.youtube.com/watch?v=TU1wnh8twi8,,"'band'], Push, ['upper body', upper body",Push
Prisoner Squat,UvUu9jqo3Vs,https://www.youtube.com/watch?v=UvUu9jqo3Vs,,"Squat, ['lower body']",Squat
Plate Squat,VUZl9MxaVTI,https://www.youtube.com/watch?v=VUZl9MxaVTI,,"Squat, ['lower body']",Squat
Pronated-Grip Seated Cable Row,WKBCqdDtxDY,https://www.youtube.com/watch?v=WKBCqdDtxDY,,"'chair'], Pull, ['upper body', arm",Pull
